Lead Source,Do Not Email,Do Not Call,Converted,Country,Specialization,Through Recommendations,Tags,City,Last Notable Activity,Decision_Authority,Job Position
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,1,Associate Analyst
Organic Search,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,4,Head of Marketing
Direct Traffic,No,No,1,India,Business Administration,No,Will revert after reading the email,Mumbai,Email Opened,1,Assistant Coordinator
Direct Traffic,No,No,0,India,Media and Advertising,No,Ringing,Mumbai,Modified,2,Data Analyst
Google,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Modified,3,Operations Manager
Olark Chat,No,No,0,,Select,No,,,Modified,1,Associate Analyst
Google,No,No,1,India,Supply Chain Management,No,Will revert after reading the email,Mumbai,Modified,3,Marketing Manager
Olark Chat,No,No,0,,Select,No,,,Modified,2,Software Engineer
Direct Traffic,No,No,0,India,IT Projects Management,No,,Mumbai,Email Opened,1,Assistant Coordinator
Google,No,No,0,India,Finance Management,No,,Mumbai,Email Opened,2,Technical Specialist
Organic Search,No,No,1,India,Travel and Tourism,No,Will revert after reading the email,Mumbai,Email Opened,3,Marketing Manager
Direct Traffic,No,No,1,India,Human Resource Management,No,Lost to EINS,Mumbai,Page Visited on Website,1,Intern
Organic Search,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Modified,3,Operations Manager
Organic Search,No,No,0,India,Business Administration,No,Ringing,Mumbai,Email Opened,3,Marketing Manager
Direct Traffic,Yes,No,0,India,Business Administration,No,,Mumbai,Email Bounced,2,Software Engineer
Organic Search,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Email Opened,2,Business Consultant
Olark Chat,No,No,0,,Select,No,,,Modified,1,Junior Developer
Referral Sites,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,5,COO
Google,No,No,1,India,Marketing Management,No,,Mumbai,Page Visited on Website,5,CEO
Organic Search,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,5,CFO
Google,No,No,0,India,Media and Advertising,No,Interested in other courses,Mumbai,Modified,3,Project Manager
Google,No,No,0,India,Select,No,In confusion whether part time or DLP,Mumbai,Modified,4,Vice President
Google,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,Modified,2,Software Engineer
Google,No,No,0,India,Finance Management,No,Ringing,Mumbai,Email Link Clicked,1,Junior Developer
Google,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Technical Specialist
Google,No,No,1,India,Travel and Tourism,No,Busy,Mumbai,Modified,1,Associate Analyst
Organic Search,No,No,1,Bangladesh,Finance Management,No,Will revert after reading the email,Other Cities,Email Opened,5,Chief Innovation Officer
Google,No,No,1,India,Media and Advertising,No,Will revert after reading the email,Mumbai,Email Opened,2,Technical Specialist
Direct Traffic,No,No,0,India,Select,No,switched off,Mumbai,Email Opened,3,Operations Manager
Google,No,No,1,India,International Business,No,Will revert after reading the email,Mumbai,Unreachable,2,Data Analyst
Direct Traffic,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Email Opened,3,Operations Manager
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,1,Assistant Coordinator
Referral Sites,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Data Analyst
Organic Search,No,No,0,India,Select,No,,Mumbai,Modified,1,Intern
Organic Search,No,No,1,India,E-COMMERCE,No,Will revert after reading the email,Mumbai,Modified,1,Intern
Referral Sites,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Modified,4,Head of Marketing
Google,No,No,0,India,Operations Management,No,Ringing,Mumbai,Modified,1,Junior Developer
Google,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Technical Specialist
Google,No,No,0,India,Select,No,Ringing,Mumbai,Email Link Clicked,3,Team Lead
Google,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,4,Vice President
Direct Traffic,No,No,0,India,Select,No,Busy,Mumbai,Email Opened,2,Business Consultant
Organic Search,Yes,No,0,India,Retail Management,No,Busy,Mumbai,Unsubscribed,3,Marketing Manager
Google,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,2,Data Analyst
Google,No,No,0,India,Finance Management,No,,Mumbai,Email Opened,2,Data Analyst
Direct Traffic,No,No,0,India,Operations Management,No,in touch with EINS,Mumbai,Email Opened,2,Business Consultant
Google,No,No,0,India,Marketing Management,No,Ringing,Mumbai,Email Opened,1,Assistant Coordinator
Direct Traffic,No,No,0,India,Finance Management,No,Already a student,Mumbai,Email Opened,2,Business Consultant
Olark Chat,No,No,0,,Select,No,,,Modified,3,Project Manager
Google,No,No,0,India,Supply Chain Management,No,Diploma holder (Not Eligible),Mumbai,Modified,2,Data Analyst
Olark Chat,No,No,0,,Select,No,,,Modified,3,Operations Manager
Olark Chat,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Modified,3,Project Manager
Google,No,No,0,India,Business Administration,No,Already a student,Mumbai,Email Opened,2,Business Consultant
Organic Search,No,No,0,India,E-COMMERCE,No,Ringing,Mumbai,Modified,2,Data Analyst
Google,No,No,0,India,Select,No,,Mumbai,Modified,1,Assistant Coordinator
Organic Search,No,No,0,India,Select,No,,Mumbai,Email Opened,3,Team Lead
Organic Search,No,No,0,India,Select,No,switched off,Mumbai,Email Opened,2,Technical Specialist
Referral Sites,No,No,1,India,IT Projects Management,No,Busy,Mumbai,Modified,1,Intern
Referral Sites,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Page Visited on Website,1,Junior Developer
Organic Search,No,No,0,India,Human Resource Management,No,Interested in other courses,Mumbai,Modified,1,Associate Analyst
Referral Sites,No,No,0,India,Services Excellence,No,Graduation in progress,Mumbai,Email Opened,3,Project Manager
Google,No,No,0,India,International Business,No,Interested in other courses,Mumbai,Modified,2,Business Consultant
Olark Chat,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,2,Business Consultant
Organic Search,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Modified,2,Technical Specialist
Olark Chat,No,No,0,,Select,No,,,Modified,2,Business Consultant
Direct Traffic,No,No,1,Bangladesh,Operations Management,No,Will revert after reading the email,Other Cities,Email Opened,4,Head of Marketing
Google,No,No,1,India,Hospitality Management,No,Will revert after reading the email,Mumbai,Modified,1,Assistant Coordinator
Google,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Had a Phone Conversation,1,Assistant Coordinator
Olark Chat,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Modified,3,Marketing Manager
Olark Chat,No,No,0,India,Finance Management,No,Interested in other courses,Mumbai,Modified,3,Operations Manager
Olark Chat,No,No,0,India,Select,No,Ringing,Mumbai,Modified,2,Data Analyst
Direct Traffic,No,No,0,India,Retail Management,No,Already a student,Mumbai,Modified,2,Technical Specialist
Direct Traffic,No,No,0,India,Business Administration,No,Ringing,Mumbai,Email Opened,4,Director of Operations
Referral Sites,Yes,No,0,India,International Business,No,Ringing,Mumbai,Modified,2,Technical Specialist
Organic Search,No,No,0,India,Select,No,switched off,Mumbai,Modified,5,CFO
Direct Traffic,No,No,0,India,Operations Management,No,,Mumbai,Page Visited on Website,2,Data Analyst
Direct Traffic,No,No,1,India,Marketing Management,No,Lost to EINS,Mumbai,Email Opened,2,Technical Specialist
Google,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,Email Opened,1,Associate Analyst
Welingak Website,No,No,1,India,Select,No,,Mumbai,Modified,5,CTO
Referral Sites,No,No,0,India,Operations Management,No,in touch with EINS,Mumbai,Email Opened,2,Business Consultant
Reference,No,No,1,India,Hospitality Management,No,Will revert after reading the email,Mumbai,Modified,4,Head of Marketing
Google,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,2,Business Consultant
Welingak Website,No,No,1,India,Select,No,,Mumbai,Modified,2,Software Engineer
Olark Chat,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Link Clicked,4,Senior Strategy Director
Olark Chat,No,No,0,,Select,No,,,Modified,3,Project Manager
Google,No,No,1,India,IT Projects Management,No,Will revert after reading the email,Mumbai,Modified,2,Data Analyst
Referral Sites,No,No,0,India,Select,No,Ringing,Mumbai,Modified,2,Data Analyst
Referral Sites,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,3,Project Manager
Direct Traffic,No,No,0,India,Supply Chain Management,No,,Mumbai,Email Opened,2,Software Engineer
Reference,No,No,1,India,Human Resource Management,No,Closed by Horizzon,Mumbai,Modified,2,Data Analyst
Organic Search,No,No,0,India,Rural and Agribusiness,No,Interested in other courses,Mumbai,Modified,4,Head of Marketing
Organic Search,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,1,Junior Developer
Olark Chat,No,No,1,Bangladesh,Business Administration,No,,Other Cities,Email Opened,3,Project Manager
Google,No,No,0,India,Finance Management,No,,Mumbai,Email Opened,4,Director of Operations
Google,No,No,0,India,Healthcare Management,No,,Mumbai,Email Opened,4,Senior Strategy Director
Direct Traffic,No,No,0,India,Finance Management,No,number not provided,Mumbai,Modified,2,Software Engineer
Direct Traffic,No,No,0,India,Marketing Management,No,Busy,Mumbai,Unreachable,3,Project Manager
Google,No,No,0,India,Healthcare Management,No,Diploma holder (Not Eligible),Mumbai,Modified,2,Technical Specialist
Olark Chat,No,No,0,India,Select,No,opp hangup,Mumbai,Modified,2,Business Consultant
Google,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Modified,3,Team Lead
Direct Traffic,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Software Engineer
Referral Sites,No,No,0,India,Select,No,Ringing,Mumbai,Modified,1,Associate Analyst
Olark Chat,No,No,1,India,Select,No,,Mumbai,Modified,3,Team Lead
Google,No,No,0,India,Finance Management,No,,Mumbai,Modified,2,Technical Specialist
Direct Traffic,No,No,0,India,Healthcare Management,No,switched off,Mumbai,Modified,1,Associate Analyst
Google,No,No,1,India,Select,No,,Mumbai,Modified,4,Director of Operations
Organic Search,No,No,0,Bangladesh,Supply Chain Management,No,Ringing,Other Cities,Email Opened,3,Operations Manager
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,3,Operations Manager
Google,No,No,1,India,Select,No,,Mumbai,Modified,3,Operations Manager
Google,No,No,0,India,E-COMMERCE,No,,Mumbai,Olark Chat Conversation,1,Assistant Coordinator
Organic Search,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Technical Specialist
Organic Search,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Business Consultant
Google,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Data Analyst
Reference,No,No,1,India,Business Administration,No,Closed by Horizzon,Mumbai,Email Link Clicked,2,Business Consultant
Direct Traffic,No,No,0,India,Select,No,Graduation in progress,Mumbai,Modified,3,Project Manager
Google,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Email Opened,3,Team Lead
Google,No,No,0,India,Hospitality Management,No,Ringing,Mumbai,Modified,4,Senior Strategy Director
Organic Search,No,No,0,India,Select,No,,Mumbai,Email Opened,3,Team Lead
Google,No,No,0,India,Select,No,Already a student,Mumbai,Modified,5,COO
Referral Sites,No,No,0,India,Select,No,Interested in other courses,Mumbai,Page Visited on Website,3,Project Manager
Organic Search,No,No,0,India,Select,No,switched off,Mumbai,Modified,2,Software Engineer
Reference,No,No,1,Bangladesh,Marketing Management,No,Closed by Horizzon,Other Cities,Modified,2,Business Consultant
Google,No,No,0,India,Finance Management,No,,Mumbai,Email Opened,4,Senior Strategy Director
Organic Search,No,No,1,India,Select,No,,Mumbai,Modified,1,Junior Developer
Google,No,No,0,India,Select,No,,Mumbai,Modified,3,Project Manager
Google,No,No,0,India,Finance Management,No,Ringing,Mumbai,Email Opened,1,Intern
Referral Sites,No,No,0,India,Select,No,,Mumbai,Modified,3,Operations Manager
Direct Traffic,No,No,0,India,Finance Management,No,Already a student,Mumbai,Modified,2,Business Consultant
Organic Search,Yes,No,0,India,Supply Chain Management,No,switched off,Mumbai,Modified,5,Chief Innovation Officer
Google,Yes,No,0,India,International Business,No,,Mumbai,Unsubscribed,1,Associate Analyst
Google,No,No,1,India,Select,No,,Mumbai,Modified,2,Software Engineer
